index,author,url,recipeTitle,recipeRating,commentBody,commentType,userID,commentRecommendations,prompt,ai_guess
0,Ligaya Mishan,https://cooking.nytimes.com/recipes/1027054-melon-salad-with-nectarines-tomatoes-and-basil,"Melon Salad With Nectarines, Tomatoes and Basil  Recipe",5(331),"I saw this inspiring photo, read the blurb (love these people's approach), scanned the ingredients, and got right to work on my lunch.  I had apricots and Queen Anne cherries, neither very interesting eaten out of hand; small golden tomatoes; red onion; some leftover lemon vinaigrette; a hunk of asiago; and salted pistachios.  Together they made a delicious and healthy feast of my lunch, and I felt like I'd done something.  Thanks for this recipe and for loads of other great ones, NYT.",comment,67739981,169,"

Here's a comment from NYT Cooking:I saw this inspiring photo, read the blurb (love these people's approach), scanned the ingredients, and got right to work on my lunch.  I had apricots and Queen Anne cherries, neither very interesting eaten out of hand; small golden tomatoes; red onion; some leftover lemon vinaigrette; a hunk of asiago; and salted pistachios.  Together they made a delicious and healthy feast of my lunch, and I felt like I'd done something.  Thanks for this recipe and for loads of other great ones, NYT.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
0,Ligaya Mishan,https://cooking.nytimes.com/recipes/1027054-melon-salad-with-nectarines-tomatoes-and-basil,"Melon Salad With Nectarines, Tomatoes and Basil  Recipe",5(331),"My favorite part of the recipe: “you take what is great from what is right around you and do very little to it.”  With neither a caper leaf or a tablespoon of Chardonnay vinegar in sight, it was fabulous on its own with a tablespoon of white Modena vinegar.",comment,26412283,166,"

Here's a comment from NYT Cooking:My favorite part of the recipe: “you take what is great from what is right around you and do very little to it.”  With neither a caper leaf or a tablespoon of Chardonnay vinegar in sight, it was fabulous on its own with a tablespoon of white Modena vinegar.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
0,Ligaya Mishan,https://cooking.nytimes.com/recipes/1027054-melon-salad-with-nectarines-tomatoes-and-basil,"Melon Salad With Nectarines, Tomatoes and Basil  Recipe",5(331),"""Salted capers, cut in half.""  Made me laugh.  Never gonna happen in my house.",comment,83684425,126,"

Here's a comment from NYT Cooking:""Salted capers, cut in half.""  Made me laugh.  Never gonna happen in my house.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",thinks_recipe_is_flawed_due_to_technique_or_equipment
0,Ligaya Mishan,https://cooking.nytimes.com/recipes/1027054-melon-salad-with-nectarines-tomatoes-and-basil,"Melon Salad With Nectarines, Tomatoes and Basil  Recipe",5(331),"I’m not the kind of person who takes the time to nurture a salad, no matter how good it is. I hope that changes. 

I’m keeping it in my recipe box in the hopes that I find the quiet moments where I can make great things. Alas, today is not that day. 

But the story was wonderful. We all move on, leaving the good and the bad behind.",comment,140928095,66,"

Here's a comment from NYT Cooking:I’m not the kind of person who takes the time to nurture a salad, no matter how good it is. I hope that changes. 

I’m keeping it in my recipe box in the hopes that I find the quiet moments where I can make great things. Alas, today is not that day. 

But the story was wonderful. We all move on, leaving the good and the bad behind.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",maybe_not_about_the_recipe
0,Ligaya Mishan,https://cooking.nytimes.com/recipes/1027054-melon-salad-with-nectarines-tomatoes-and-basil,"Melon Salad With Nectarines, Tomatoes and Basil  Recipe",5(331),Would love some clarification regarding “caper leaves.” Are these supposed to be torn apart capers or literally the unpickled leaves of the caper bush?,comment,1960999,64,"

Here's a comment from NYT Cooking:Would love some clarification regarding “caper leaves.” Are these supposed to be torn apart capers or literally the unpickled leaves of the caper bush?

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",question
0,Ligaya Mishan,https://cooking.nytimes.com/recipes/1027054-melon-salad-with-nectarines-tomatoes-and-basil,"Melon Salad With Nectarines, Tomatoes and Basil  Recipe",5(331),This looks fantastic - can't wait to make it. Thank you for the details in your Eats stories. I'll look for your reviews!,comment,48919800,38,"

Here's a comment from NYT Cooking:This looks fantastic - can't wait to make it. Thank you for the details in your Eats stories. I'll look for your reviews!

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",maybe_not_about_the_recipe
0,Ligaya Mishan,https://cooking.nytimes.com/recipes/1027054-melon-salad-with-nectarines-tomatoes-and-basil,"Melon Salad With Nectarines, Tomatoes and Basil  Recipe",5(331),"I think you could also use Tajin instead of the crushed red pepper, it goes so well with fruit. Haven’t tried it yet, but looks like a perfect summer salad.",comment,81025968,38,"

Here's a comment from NYT Cooking:I think you could also use Tajin instead of the crushed red pepper, it goes so well with fruit. Haven’t tried it yet, but looks like a perfect summer salad.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
0,Ligaya Mishan,https://cooking.nytimes.com/recipes/1027054-melon-salad-with-nectarines-tomatoes-and-basil,"Melon Salad With Nectarines, Tomatoes and Basil  Recipe",5(331),The greatest piece of this for me was to season each item separately and then  layer — best advice!  I haven’t made this yet but I will soon for friends who enjoy a good symphony of taste.,comment,77896897,25,"

Here's a comment from NYT Cooking:The greatest piece of this for me was to season each item separately and then  layer — best advice!  I haven’t made this yet but I will soon for friends who enjoy a good symphony of taste.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",maybe_not_about_the_recipe
0,Ligaya Mishan,https://cooking.nytimes.com/recipes/1027054-melon-salad-with-nectarines-tomatoes-and-basil,"Melon Salad With Nectarines, Tomatoes and Basil  Recipe",5(331),This is why I liked the food in Sicily the best of all the Mediterranean countries we visited. The Sicilians cook the way I do. Find the best food and treat it gently.,comment,79264886,24,"

Here's a comment from NYT Cooking:This is why I liked the food in Sicily the best of all the Mediterranean countries we visited. The Sicilians cook the way I do. Find the best food and treat it gently.

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",maybe_not_about_the_recipe
0,Ligaya Mishan,https://cooking.nytimes.com/recipes/1027054-melon-salad-with-nectarines-tomatoes-and-basil,"Melon Salad With Nectarines, Tomatoes and Basil  Recipe",5(331),"Oh, how delicious and simple this is!!! I swapped out tajín for the chili flakes (as someone else wisely suggested) and also added cherries, since I had them on hand. This may be my new favorite summer lunch!",comment,69707253,11,"

Here's a comment from NYT Cooking:Oh, how delicious and simple this is!!! I swapped out tajín for the chili flakes (as someone else wisely suggested) and also added cherries, since I had them on hand. This may be my new favorite summer lunch!

Choose the single most specific category that applies from this list:

positive_user_made_as_written
positive_user_describing_changes
thinks_recipe_is_flawed_due_to_flavor
thinks_recipe_is_flawed_due_to_technique_or_equipment
thinks_recipe_is_flawed_due_to_cooking_time
thinks_recipe_is_inauthentic
thinks_ingredients_hard_to_find
user_responding_to_other_user
question
maybe_not_about_the_recipe

Prioritize structural recipe suggestions over general experience.
",positive_user_describing_changes
